rho_O,G2_Output_MW,System_Cost,Computation_Time_s
0,50.0,9846.175243338153,0.19513392448425293
20,50.0,9846.175243338153,0.07663297653198242
40,50.0,9846.175243338153,0.08044719696044922
60,50.0,9846.175243338153,0.08479785919189453
80,50.0,9846.175243338153,0.08381509780883789
100,50.0,9846.175243338153,0.0801854133605957
150,50.0,9846.175243338153,0.09181880950927734
200,50.0,9846.175243338153,0.09149456024169922
250,50.0,9846.175243338153,0.07134151458740234
300,50.0,9846.175243338153,0.07899022102355957
350,50.0,9846.175243338153,0.07718491554260254
400,50.0,9846.175243338153,0.09331488609313965
