String,Double,Double,String,Double,Double,Double,Double,Double
DateTime,SpotPrice_RRP,TotalDemand,WeatherType,Temperature,WindSpeed,Cloud,Humidity,Rain
2024/4/1 0:30,56.1,6537.55,晴,21.2,2,0,86,0
2024/4/1 1:00,51.64,6305.32,晴,20.8,2,0,87.5,0
2024/4/1 1:30,58.5,6147.88,晴,20.4,2,0,89,0
2024/4/1 2:00,58.66,6020.26,晴,20.5,2,0,89,0
2024/4/1 2:30,59.04,5953.13,晴,20.6,2,0,89,0
2024/4/1 3:00,58.96,5884.8,晴,20.3,1,0,90,0
2024/4/1 3:30,58.47,5876.56,晴,20,0,0,91,0
2024/4/1 4:00,53.92,5869.43,晴,19.8,1,0,91,0
2024/4/1 4:30,58.33,5894.55,晴,19.6,2,0,91,0
2024/4/1 5:00,59.27,6023.5,晴,19.6,2,0,89.5,0
2024/4/1 5:30,68.87,6152.9,晴,19.6,2,0,88,0
2024/4/1 6:00,58.04,6300.58,晴,19.75,2,0,87,0
2024/4/1 6:30,58.66,6391.72,晴,19.9,2,0,86,0
2024/4/1 7:00,58.16,6410.88,晴,19.9,2.5,0,85.5,0
2024/4/1 7:30,32.01,6275.8,晴,19.9,3,0,85,0
2024/4/1 8:00,4.64,6070.41,晴,19.9,3,0,84.5,0
2024/4/1 8:30,4.17,5963.49,晴,19.9,3,0,84,0
2024/4/1 9:00,1.96,5693.54,晴,20.75,3,0,79,0
2024/4/1 9:30,28.3,5442.21,晴,21.6,3,10,74,10
2024/4/1 10:00,-12.05,5099.5,晴,23,3.5,10,67,10
2024/4/1 10:30,-22.78,4906.72,晴,24.4,4,0,60,0
2024/4/1 11:00,-10.07,4839.95,晴,25.1,4.5,0,56.5,0
2024/4/1 11:30,5.17,4916.26,晴,25.8,5,0,53,0
2024/4/1 12:00,4.25,4889.14,晴,27.05,5.5,0,49,0
2024/4/1 12:30,19.35,4926.49,晴,28.3,6,10,45,10
2024/4/1 13:00,20.44,5076.49,晴,28,6.5,10,46,10
2024/4/1 13:30,36.37,5320.43,晴,27.7,7,0,47,0
2024/4/1 14:00,30.45,5554.8,晴,27.85,7.5,0,46.5,0
2024/4/1 14:30,48.5,5982.37,晴,28,8,0,46,0
2024/4/1 15:00,64.3,6500.18,晴,27.6,8.5,0,45,0
2024/4/1 15:30,63.21,6963.86,晴,27.2,9,10,44,10
2024/4/1 16:00,74.89,7561.76,晴,27.35,9,10,45,10
2024/4/1 16:30,84,8150.19,晴,27.5,9,0,46,0
2024/4/1 17:00,105.93,8679.33,晴,26.45,9.5,0,51.5,0
2024/4/1 17:30,116.59,8903.39,晴,25.4,10,0,57,0
2024/4/1 18:00,118.57,8936.26,晴,24.9,9,0,62,0
2024/4/1 18:30,97.89,8794.74,晴,24.4,8,10,67,10
2024/4/1 19:00,95.94,8570.87,晴,23.95,8.5,10,69.5,10
2024/4/1 19:30,93.75,8372.88,晴,23.5,9,0,72,0
2024/4/1 20:00,86.92,8100.1,晴,23.45,8.5,0,70,0
2024/4/1 20:30,86.02,7892.25,晴,23.4,8,0,68,0
2024/4/1 21:00,69.82,7643.52,晴,23.45,8.5,0,68.5,0
2024/4/1 21:30,61.73,7486.41,晴,23.5,9,0,69,0
2024/4/1 22:00,69.66,7430.96,晴,23.25,9.5,0,72,0
2024/4/1 22:30,89.99,7348.47,晴,23,10,0,75,0
2024/4/1 23:00,76.94,7161.46,晴,22.8,8.5,0,75.5,0
2024/4/1 23:30,63.63,7039.51,晴,22.6,7,0,76,0
2024/4/2 0:00,61.09,6888.03,晴,22.4,6.5,0,75,0
2024/4/2 0:30,61.12,6745.85,晴,22.2,6,0,74,0
2024/4/2 1:00,49.27,6456.06,晴,22.1,5.5,0,73,0
