hour_ahead,predicted_price,hour_of_day,is_peak,is_valley,is_evening_peak,is_morning_peak,is_valley_hour,storage_action
1,65.050674,0,False,False,False,False,True,charge
2,65.435425,1,False,False,False,False,True,charge
3,68.41129,2,False,False,False,False,True,charge
4,65.014786,3,False,False,False,False,True,charge
5,65.518684,4,False,False,False,False,True,charge
6,66.03627,5,False,False,False,False,True,charge
7,78.58054,6,False,False,False,False,False,hold
8,85.91689,7,False,False,False,False,False,hold
9,87.51161,8,False,False,False,True,False,hold
10,90.16617,9,False,False,False,True,False,hold
11,92.14213,10,False,False,False,True,False,hold
12,101.32224,11,False,False,False,True,False,discharge
13,91.4871,12,False,False,False,False,False,hold
14,73.93456,13,False,False,False,False,False,hold
15,50.796497,14,False,False,False,False,False,hold
16,40.09564,15,False,False,False,False,False,charge
17,44.251858,16,False,False,False,False,False,hold
18,62.42609,17,False,False,False,False,False,hold
19,88.024704,18,False,False,True,False,False,discharge
20,93.46696,19,False,False,True,False,False,discharge
21,93.24739,20,False,False,True,False,False,discharge
22,87.44444,21,False,False,True,False,False,discharge
23,66.43249,22,False,False,False,False,False,hold
24,53.327908,23,False,False,False,False,False,hold
